,track_name,weeks,max_rank,min_rank,avg_rank
I Can't Stand It,I Can't Stand It,28,106,10,47.75
Rico Suave,Rico Suave,18,97,7,40.94444444444444
We Want The Funk,We Want The Funk,11,94,16,44.0
I Am...I Said,I Am...I Said,0,,,
Automatic Lover,Automatic Lover,19,99,52,76.42105263157895
I'm Looking For The One To Be With Me,I'm Looking For The One To Be With Me,0,,,
Let's Work Together,Let's Work Together,25,109,26,51.04
God Love Her,God Love Her,20,89,36,58.5
Lost You Anyway,Lost You Anyway,10,97,69,84.6
If It's The Last Thing I Do,If It's The Last Thing I Do,11,82,47,58.72727272727273
"Saturday Night, Sunday Morning","Saturday Night, Sunday Morning",0,,,
In A Broken Dream,In A Broken Dream,10,94,56,71.3
Buy U A Drank,Buy U A Drank,35,84,1,19.82857142857143
Talking In Your Sleep,Talking In Your Sleep,51,98,3,44.3921568627451
Raise Up,Raise Up,21,98,25,48.95238095238095
Thinking About You,Thinking About You,8,97,82,90.625
Hard Knock Life,Hard Knock Life,22,98,15,42.0
Is Anybody Goin' To San Antone,Is Anybody Goin' To San Antone,7,94,70,79.0
Still Frame,Still Frame,20,99,69,83.95
Daybreaker,Daybreaker,5,95,87,91.0
Waitin' On A Woman,Waitin' On A Woman,20,99,44,63.85
Down The Aisle,Down The Aisle,17,125,37,69.41176470588235
Gallery,Gallery,20,99,35,57.6
Girl Watcher,Girl Watcher,16,119,5,37.4375
All Right Now,All Right Now,32,104,4,54.78125
Southern Hospitality,Southern Hospitality,20,86,23,46.5
Gives You Hell,Gives You Hell,38,92,4,24.44736842105263
Iko Iko,Iko Iko,33,91,14,48.72727272727273
You Don t Have To Love Me,You Don t Have To Love Me,0,,,
Don't Pull Your Love,Don't Pull Your Love,24,90,4,33.541666666666664
Kiss Kiss,Kiss Kiss,26,100,1,19.384615384615383
She Came In Through The Bathroom Window,She Came In Through The Bathroom Window,12,94,30,48.25
Feel The Funk,Feel The Funk,13,97,46,60.38461538461539
The Mummers  Dance,The Mummers  Dance,0,,,
When Love Starts Talkin',When Love Starts Talkin',2,100,98,99.0
Far From Yours,Far From Yours,3,90,81,84.66666666666667
Body Bumpin',Body Bumpin',0,,,
Two Steps Behind,Two Steps Behind,20,67,12,33.95
Down In The Boondocks,Down In The Boondocks,14,127,9,41.5
Big In Japan,Big In Japan,10,92,66,76.5
Pull Up,Pull Up,2,98,98,98.0
Yes Indeed,Yes Indeed,6,80,69,74.83333333333333
Believe,Believe,106,99,1,50.990566037735846
Oye Mi Canto,Oye Mi Canto,29,91,12,40.37931034482759
Don't Say You Love Me,Don't Say You Love Me,24,98,21,69.125
There'll Come A Time,There'll Come A Time,14,107,26,57.857142857142854
Jealous Kind Of Fella,Jealous Kind Of Fella,0,,,
Saturday,Saturday,26,108,22,62.61538461538461
Dance With The Devil,Dance With The Devil,9,89,49,65.55555555555556
The Clapping Song,The Clapping Song,24,100,8,49.416666666666664
Angel Say No,Angel Say No,8,100,38,60.875
Break My Stride,Break My Stride,29,95,5,40.758620689655174
Big Pimpin',Big Pimpin',20,69,18,31.3
Overprotected,Overprotected,5,99,86,91.2
If You're Going Through Hell,If You're Going Through Hell,20,96,33,57.8
Where Love Has Gone,Where Love Has Gone,7,114,62,77.57142857142857
Our Song,Our Song,42,121,16,44.04761904761905
Cocomotion,Cocomotion,15,99,44,76.6
Lets Get It Together,Lets Get It Together,0,,,
Dancing In Paradise,Dancing In Paradise,11,110,91,100.72727272727273
Can You Do It,Can You Do It,14,105,41,63.357142857142854
O...Saya,O...Saya,1,93,93,93.0
Paper Planes,Paper Planes,20,55,4,18.25
Untie Me,Untie Me,8,101,60,75.75
She's Like The Wind,She's Like The Wind,37,92,3,45.054054054054056
Let's Get Crazy Tonight,Let's Get Crazy Tonight,6,98,72,81.83333333333333
Morning Man,Morning Man,7,95,68,78.28571428571429
I Can Dream About You,I Can Dream About You,25,95,6,37.12
Wherever You Are,Wherever You Are,13,100,63,79.84615384615384
Stop To Love,Stop To Love,19,86,15,41.31578947368421
Your Unchanging Love,Your Unchanging Love,7,96,33,52.42857142857143
Love T.K.O.,Love T.K.O.,13,92,44,60.53846153846154
I'm Telling You Now,I'm Telling You Now,11,71,1,21.181818181818183
Objects In The Rear View Mirror May Appear Closer Than They Are,Objects In The Rear View Mirror May Appear Closer Than They Are,0,,,
7 Seconds,7 Seconds,4,100,98,99.0
"Have Fun, Go Mad!","Have Fun, Go Mad!",0,,,
Headstrong,Headstrong,43,71,16,43.53488372093023
Strawberry Shortcake,Strawberry Shortcake,6,80,39,52.333333333333336
Baby Make Your Own Sweet Music,Baby Make Your Own Sweet Music,8,99,64,76.375
No One Else On Earth,No One Else On Earth,12,94,83,89.66666666666667
E-Pro,E-Pro,10,96,65,80.9
Blanket On The Ground,Blanket On The Ground,5,97,78,84.4
Just When I Needed You Most,Just When I Needed You Most,20,93,4,32.65
Stick Shift,Stick Shift,16,115,25,63.4375
Send For Me,Send For Me,32,117,7,43.40625
Good Time Tonight,Good Time Tonight,7,126,98,115.57142857142857
The Last Minute,The Last Minute,5,130,99,115.4
She Blew A Good Thing,She Blew A Good Thing,10,89,45,64.1
Love... Thy Will Be Done,Love... Thy Will Be Done,0,,,
The Game Of Love,The Game Of Love,37,66,5,22.54054054054054
Don't Answer Me,Don't Answer Me,15,90,15,40.6
Stupid Girl,Stupid Girl,40,100,24,70.0
Long Long Time,Long Long Time,12,82,25,42.25
My Heart Belongs To You,My Heart Belongs To You,17,127,28,72.17647058823529
Alligator Bogaloo,Alligator Bogaloo,0,,,
You Talk Too Much,You Talk Too Much,18,112,3,48.27777777777778
Rip Van Winkle,Rip Van Winkle,11,110,36,67.0
Easier Said Than Done,Easier Said Than Done,14,107,1,25.857142857142858
The Basie Twist,The Basie Twist,4,118,94,104.25
I'm Gonna Love You Too,I'm Gonna Love You Too,9,90,56,66.33333333333333
Leader Of The Laundromat,Leader Of The Laundromat,8,80,19,37.75
Soul Heaven,Soul Heaven,4,131,99,114.0
It's Cold Outside,It's Cold Outside,9,108,68,84.55555555555556
Where Are We Going,Where Are We Going,6,115,84,96.5
Maybe,Maybe,81,130,2,46.02469135802469
Scarborough Fair,Scarborough Fair,22,119,11,37.59090909090909
I Get It In,I Get It In,9,100,53,87.66666666666667
Apple Of My Eye,Apple Of My Eye,11,112,32,64.54545454545455
To Make A Big Man Cry,To Make A Big Man Cry,5,130,95,106.4
Lips Of An Angel,Lips Of An Angel,35,97,3,26.228571428571428
World,World,12,115,37,69.5
Let A Man Come In And Do The Popcorn Part One,Let A Man Come In And Do The Popcorn Part One,0,,,
Small Town USA,Small Town USA,20,89,44,65.9
Holly Holy,Holly Holy,20,109,6,41.0
Power Of Love/Love Power,Power Of Love/Love Power,0,,,
Let The Music Play,Let The Music Play,34,101,8,44.23529411764706
Love Has Finally Come At Last,Love Has Finally Come At Last,5,95,88,91.0
The Whole World Is A Stage,The Whole World Is A Stage,10,113,63,79.6
You Gave Me Something,You Gave Me Something,7,87,55,67.14285714285714
I Go To Extremes,I Go To Extremes,16,99,6,34.25
Round Every Corner,Round Every Corner,8,85,21,44.125
And So It Goes,And So It Goes,12,99,37,61.666666666666664
You re Only Human,You re Only Human,0,,,
Long Road To Ruin,Long Road To Ruin,12,100,89,94.08333333333333
Tenth Avenue Freeze-Out,Tenth Avenue Freeze-Out,3,91,83,87.0
Green Light,Green Light,33,96,24,42.75757575757576
It's Still Rock And Roll To Me,It's Still Rock And Roll To Me,0,,,
Hit That,Hit That,15,100,64,76.2
Love The One You're With/Going In Circles,Love The One You're With/Going In Circles,0,,,
"The Downeaster ""Alexa""","The Downeaster ""Alexa""",0,,,
Bad Boy/Having A Party,Bad Boy/Having A Party,0,,,
Starting Over Again,Starting Over Again,10,93,36,59.5
The Power,The Power,22,91,2,31.772727272727273
Don't Sleep In The Subway,Don't Sleep In The Subway,10,76,5,27.3
Til My Baby Comes Home,Til My Baby Comes Home,0,,,
Subterranean Homesick Blues,Subterranean Homesick Blues,9,118,39,63.111111111111114
Understand Your Man,Understand Your Man,9,123,35,59.44444444444444
A Matter Of Trust,A Matter Of Trust,18,86,10,39.333333333333336
The River,The River,5,93,39,72.0
Angels,Angels,22,118,53,79.81818181818181
Painted Ladies,Painted Ladies,14,96,34,57.142857142857146
Mr. Vain,Mr. Vain,20,81,17,35.5
You May Be Right,You May Be Right,25,109,7,59.68
Sometimes A Fantasy,Sometimes A Fantasy,9,92,36,56.77777777777778
Into The Night,Into The Night,65,110,11,48.55384615384615
Love Is On Its Way,Love Is On Its Way,1,84,84,84.0
Still D.R.E.,Still D.R.E.,7,93,70,84.57142857142857
The Things We Do For Love,The Things We Do For Love,19,92,5,29.842105263157894
It Must Have Been Love,It Must Have Been Love,25,99,1,32.04
With Arms Wide Open,With Arms Wide Open,31,45,1,12.612903225806452
We re Not Gonna Take It,We re Not Gonna Take It,0,,,
Brick House,Brick House,16,94,5,30.6875
Castles In The Sky,Castles In The Sky,10,100,91,96.8
Crawling Back,Crawling Back,8,101,46,65.375
Pata Pata,Pata Pata,12,122,12,43.083333333333336
Walking In L.A.,Walking In L.A.,6,95,70,81.0
The Loco-Motion,The Loco-Motion,43,100,1,35.97674418604651
This Diamond Ring,This Diamond Ring,15,117,1,32.06666666666667
Ramblin Man,Ramblin Man,0,,,
Love And Understanding,Love And Understanding,23,100,17,57.73913043478261
Amanda,Amanda,30,98,1,50.333333333333336
Pieces Of Me,Pieces Of Me,21,61,5,21.761904761904763
Gimme All Your Lovin,Gimme All Your Lovin,0,,,
Footprints,Footprints,6,100,93,95.5
Another Day In Paradise,Another Day In Paradise,18,86,1,21.77777777777778
Pass That Dutch,Pass That Dutch,15,100,27,54.8
Youth Gone Wild,Youth Gone Wild,2,99,99,99.0
You Can Do It,You Can Do It,32,102,35,70.3125
Wild Wild Life,Wild Wild Life,21,99,25,55.61904761904762
Close To Me,Close To Me,3,100,97,98.66666666666667
Change The World,Change The World,43,50,5,22.674418604651162
Sweet Soul Music,Sweet Soul Music,15,81,2,22.933333333333334
Chain Of Fools/Satisfaction,Chain Of Fools/Satisfaction,0,,,
Hard Habit To Break,Hard Habit To Break,25,94,3,35.72
From A Distance,From A Distance,27,109,2,33.44444444444444
Pretending,Pretending,14,97,10,61.642857142857146
Suicide Blonde,Suicide Blonde,13,84,9,32.46153846153846
Must Of Got Lost,Must Of Got Lost,0,,,
The Boy Is Mine,The Boy Is Mine,27,31,1,9.333333333333334
Ai No Corrida,Ai No Corrida,15,102,28,63.2
My Lovin,My Lovin,0,,,
Lotta Love,Lotta Love,19,94,8,30.63157894736842
Thunder Island,Thunder Island,21,94,9,39.714285714285715
Original Fire,Original Fire,2,97,79,88.0
Stars Are Blind,Stars Are Blind,12,81,18,38.25
Ghetto Story,Ghetto Story,1,99,99,99.0
Long Train Runnin',Long Train Runnin',18,84,8,32.94444444444444
Black Water,Black Water,17,75,1,24.294117647058822
Welcome To The Black Parade,Welcome To The Black Parade,26,92,9,34.26923076923077
Everybody Loves A Winner,Everybody Loves A Winner,4,127,95,111.0
Hip Hug-Her,Hip Hug-Her,14,104,37,59.642857142857146
It's So Easy,It's So Easy,18,97,5,32.72222222222222
Sail On Sailor,Sail On Sailor,17,92,49,74.88235294117646
When You Gonna,When You Gonna,0,,,
Hey Mama,Hey Mama,44,81,8,32.45454545454545
I've Got No Time To Lose,I've Got No Time To Lose,9,85,67,73.22222222222223
Woo-Hah!! Got You All In Check/Everything Remains Raw,Woo-Hah!! Got You All In Check/Everything Remains Raw,0,,,
When Tomorrow Comes,When Tomorrow Comes,4,128,99,112.25
Rhinestone Cowboy,Rhinestone Cowboy,23,81,1,23.869565217391305
The Christmas Song,The Christmas Song,13,100,7,54.15384615384615
Ordinary World,Ordinary World,22,67,3,21.318181818181817
One Vision,One Vision,10,96,61,72.3
Number One,Number One,16,99,57,81.25
Since U Been Gone,Since U Been Gone,46,70,2,20.543478260869566
Here,Here,95,130,5,45.73684210526316
Devils & Dust,Devils & Dust,0,,,
Irreplaceable,Irreplaceable,30,87,1,16.066666666666666
Gone Till November,Gone Till November,20,50,7,20.45
Jolene,Jolene,9,92,60,72.33333333333333
I Will Always Love You,I Will Always Love You,44,99,1,33.52272727272727
Disco Lady,Disco Lady,19,99,1,29.210526315789473
Cotton Eye Joe,Cotton Eye Joe,23,99,25,52.56521739130435
Thank God I Found You,Thank God I Found You,18,89,1,32.388888888888886
Tubthumping,Tubthumping,37,99,6,34.24324324324324
I'd Rather,I'd Rather,20,100,83,93.2
Tangled Up In Blue,Tangled Up In Blue,7,74,31,48.714285714285715
The Great Escape,The Great Escape,28,115,23,47.857142857142854
Hot,Hot,1,95,95,95.0
Hey There Delilah,Hey There Delilah,35,79,1,22.62857142857143
Something Got Me Started,Something Got Me Started,14,94,23,56.142857142857146
Holding Back The Years,Holding Back The Years,23,96,1,37.73913043478261
Here Comes The Rain Again,Here Comes The Rain Again,20,97,4,32.95
Autobahn,Autobahn,10,87,25,46.5
Lay Down Sally,Lay Down Sally,23,97,3,25.08695652173913
Just Friends,Just Friends,20,89,31,50.65
She's Got A Way,She's Got A Way,14,100,23,45.57142857142857
Summer And Sandy,Summer And Sandy,8,104,65,77.625
Tonight I'll Be Staying Here With You,Tonight I'll Be Staying Here With You,7,85,50,65.85714285714286
What You Waiting For?,What You Waiting For?,17,99,47,77.47058823529412
Devoted To You,Devoted To You,23,93,10,37.95652173913044
Slow Down,Slow Down,67,106,8,47.850746268656714
Emma,Emma,15,106,8,40.2
Just My Imagination,Just My Imagination,15,71,1,15.933333333333334
Nothin',Nothin',31,100,10,43.32258064516129
Woman,Woman,69,131,2,37.44927536231884
Mmmbop,Mmmbop,22,50,1,15.318181818181818
Any Man Of Mine/Whose Bed Have Your Boots Been Under?,Any Man Of Mine/Whose Bed Have Your Boots Been Under?,0,,,
White Room,White Room,12,101,6,27.0
What I Am,What I Am,19,96,7,39.473684210526315
When Smokey Sings,When Smokey Sings,19,96,5,36.526315789473685
Heartache,Heartache,9,104,78,89.77777777777777
Don't Stop The Music,Don't Stop The Music,61,99,3,45.18032786885246
Someone Who Cares,Someone Who Cares,8,107,51,65.875
Ice Ice Baby,Ice Ice Baby,22,91,1,31.40909090909091
Follow My Heartbeat,Follow My Heartbeat,6,100,72,81.33333333333333
Thunder,Thunder,13,90,76,82.46153846153847
Escape,Escape,41,93,1,28.78048780487805
The Yard Went On Forever,The Yard Went On Forever,6,97,64,73.33333333333333
I Couldn't Live Without Your Love,I Couldn't Live Without Your Love,9,73,9,26.333333333333332
Stupid Girls,Stupid Girls,16,85,13,35.875
Inconsolable,Inconsolable,2,96,86,91.0
Make Some Noise,Make Some Noise,1,92,92,92.0
Rock Star,Rock Star,4,100,81,89.0
That Magic Touch,That Magic Touch,6,84,77,81.16666666666667
That's The Way A Woman Is,That's The Way A Woman Is,9,93,62,75.77777777777777
Sweet Impossible You,Sweet Impossible You,5,96,70,82.0
Mexican Radio,Mexican Radio,9,94,58,73.55555555555556
My Life Would Suck Without You,My Life Would Suck Without You,25,97,1,21.08
Bless Our Love,Bless Our Love,9,98,39,61.666666666666664
Fool For You,Fool For You,19,122,22,67.94736842105263
And You And I,And You And I,7,83,42,62.42857142857143
Itchycoo Park,Itchycoo Park,19,116,16,53.36842105263158
Good Time Music,Good Time Music,6,130,97,108.83333333333333
Georgy Girl,Georgy Girl,19,131,2,40.05263157894737
This Is My Country,This Is My Country,11,109,25,50.63636363636363
Ain't Got Time,Ain't Got Time,8,124,53,76.625
Finally Got Myself Together,Finally Got Myself Together,18,99,17,55.888888888888886
Touch Me Tease Me,Touch Me Tease Me,20,84,14,34.25
Lovin' Things,Lovin' Things,7,83,49,58.857142857142854
You'll Never Walk Alone,You'll Never Walk Alone,24,114,34,65.91666666666667
Single Ladies,Single Ladies,27,72,1,19.85185185185185
Back In The Day,Back In The Day,20,87,26,41.75
6 Underground,6 Underground,22,94,45,62.95454545454545
Da'Butt,Da'Butt,4,71,45,58.5
I Don t Want To Lose Your Love,I Don t Want To Lose Your Love,0,,,
Too Much Of A Good Thing,Too Much Of A Good Thing,13,100,46,59.61538461538461
The Talkin' Song Repair Blues,The Talkin' Song Repair Blues,2,100,99,99.5
Monday Morning Church,Monday Morning Church,16,90,54,64.9375
Circus,Circus,22,48,3,17.09090909090909
Shaker Song,Shaker Song,5,100,90,93.6
Morning Much Better,Morning Much Better,8,123,74,88.75
Rockin' That Thang,Rockin' That Thang,20,99,22,43.8
Walkin' On The Moon,Walkin' On The Moon,9,100,87,94.66666666666667
You've Got Your Troubles,You've Got Your Troubles,12,116,7,40.416666666666664
Gonna Fly Now,Gonna Fly Now,34,108,1,39.1764705882353
Do Unto Me,Do Unto Me,7,122,73,82.57142857142857
Shake A Tail Feather,Shake A Tail Feather,21,90,25,57.61904761904762
I Can Remember,I Can Remember,6,94,51,72.5
Let Love Come Between Us,Let Love Come Between Us,9,77,23,41.111111111111114
I'll Always Love My Mama,I'll Always Love My Mama,12,85,36,51.166666666666664
When You Wish Upon A Star,When You Wish Upon A Star,10,113,30,59.9
Havin' Fun,Havin' Fun,6,86,42,60.833333333333336
Little Diane,Little Diane,11,72,8,29.818181818181817
Mishale,Mishale,19,100,38,63.26315789473684
Always Strapped,Always Strapped,17,98,54,75.41176470588235
Walking On Broken Glass,Walking On Broken Glass,25,96,14,32.88
Little Bird,Little Bird,18,129,49,85.55555555555556
It's The Same Old Song,It's The Same Old Song,20,110,5,43.3
Deep In The Heart Of Texas,Deep In The Heart Of Texas,24,100,3,22.875
Closer To Love,Closer To Love,7,100,91,96.71428571428571
The Doodle Song,The Doodle Song,5,100,71,86.2
Only In Your Heart,Only In Your Heart,5,81,62,69.2
Sister Golden Hair,Sister Golden Hair,16,71,1,26.75
Sea Of Love,Sea Of Love,53,133,2,40.056603773584904
You Made Me Believe In Magic,You Made Me Believe In Magic,17,84,10,33.588235294117645
Rock Me Tonight,Rock Me Tonight,19,100,18,50.73684210526316
Hoedown Throwdown,Hoedown Throwdown,13,96,18,58.53846153846154
A Woman's Hands,A Woman's Hands,5,83,63,71.2
A Woman Can Change A Man,A Woman Can Change A Man,7,100,56,68.85714285714286
Why Not Tonight,Why Not Tonight,8,125,90,109.875
My Heart Skips A Beat,My Heart Skips A Beat,22,119,38,75.5
Before You Go,Before You Go,4,123,83,103.25
I've Got A Tiger By The Tail,I've Got A Tiger By The Tail,9,85,25,45.333333333333336
I'll Be Home,I'll Be Home,33,116,5,50.90909090909091
"Sweet, Sweet Lovin'","Sweet, Sweet Lovin'",0,,,
Sweet Little Sixteen,Sweet Little Sixteen,19,97,2,37.31578947368421
A Million And One,A Million And One,12,105,41,69.16666666666667
Stanky Legg,Stanky Legg,14,86,49,64.07142857142857
My World Fell Down,My World Fell Down,5,94,70,83.4
You Can Get It All,You Can Get It All,10,90,55,68.7
Lady Luck,Lady Luck,14,115,14,40.5
The Doctor,The Doctor,22,100,9,49.59090909090909
Cherish What Is Dear To You,Cherish What Is Dear To You,8,85,44,55.875
The Road We Didn't Take,The Road We Didn't Take,2,100,100,100.0
Bring The Boys Home,Bring The Boys Home,13,66,12,28.46153846153846
Scotty Doesn't Know,Scotty Doesn't Know,2,78,75,76.5
"Aw Shucks, Hush Your Mouth","Aw Shucks, Hush Your Mouth",0,,,
"Lord, Mr. Ford","Lord, Mr. Ford",0,,,
Ca Plane Pour Moi,Ca Plane Pour Moi,0,,,
Move This,Move This,23,91,6,29.130434782608695
Rockin  Over The Beat,Rockin  Over The Beat,0,,,
Sleepy Lagoon,Sleepy Lagoon,23,98,1,20.73913043478261
Absolutely Right,Absolutely Right,8,70,26,38.75
Money Back Guarantee,Money Back Guarantee,5,89,72,77.6
Werewolf,Werewolf,10,99,64,77.6
I'm A Stranger Here,I'm A Stranger Here,0,,,
You And I,You And I,83,97,4,33.036144578313255
On Our Own,On Our Own,20,85,2,29.6
She Ain t Worth It,She Ain t Worth It,0,,,
A Whole New World,A Whole New World,23,54,1,18.73913043478261
Can You Feel The Love Tonight,Can You Feel The Love Tonight,26,86,4,19.884615384615383
Can I Have This Dance,Can I Have This Dance,2,100,98,99.0
Love Your Love The Most,Love Your Love The Most,16,90,63,77.375
I Found A Girl,I Found A Girl,9,116,30,62.666666666666664
Tar And Cement,Tar And Cement,4,131,79,105.25
Fire Lake,Fire Lake,16,95,6,31.625
When She Cries,When She Cries,20,84,11,32.2
Creep,Creep,52,94,1,30.807692307692307
Gangsta's Paradise,Gangsta's Paradise,38,50,1,14.552631578947368
Some Changes Are For Good,Some Changes Are For Good,6,99,65,78.0
Can I Touch You...There?,Can I Touch You...There?,0,,,
Completely,Completely,15,98,32,61.0
Please Don't Leave Me,Please Don't Leave Me,33,97,17,43.484848484848484
Ling-Ting-Tong,Ling-Ting-Tong,7,97,65,79.14285714285714
Everybody Needs Somebody To Love,Everybody Needs Somebody To Love,15,81,29,59.46666666666667
Down In The Valley,Down In The Valley,9,101,71,85.77777777777777
Spin The Bottle,Spin The Bottle,2,97,97,97.0
Keem-O-Sabe,Keem-O-Sabe,11,91,16,37.09090909090909
Love Sex Magic,Love Sex Magic,12,98,10,44.0
Kiss A Girl,Kiss A Girl,20,89,16,56.65
Only You Can Love Me This Way,Only You Can Love Me This Way,19,99,34,59.89473684210526
I'm In,I'm In,16,94,60,72.5
"Me, The Peaceful Heart","Me, The Peaceful Heart",0,,,
1901,1901,13,99,84,90.92307692307692
Summer Love,Summer Love,21,97,6,25.952380952380953
Booty Butt,Booty Butt,13,128,36,65.46153846153847
The Captain Of Her Heart,The Captain Of Her Heart,18,95,16,44.55555555555556
No Scrubs,No Scrubs,26,46,1,10.76923076923077
Sunshine And Summertime,Sunshine And Summertime,10,95,70,80.7
Put Your Records On,Put Your Records On,19,94,64,77.84210526315789
Temperature,Temperature,31,74,1,16.903225806451612
Rockstar,Rockstar,49,94,6,44.204081632653065
Somethin  To Ride To,Somethin  To Ride To,0,,,
Fun Time,Fun Time,8,83,43,56.625
Push It To The Limit,Push It To The Limit,5,89,14,51.8
Tryin' To Beat The Morning Home,Tryin' To Beat The Morning Home,0,,,
Tina Cherry,Tina Cherry,2,100,96,98.0
Disco Duck,Disco Duck,25,98,1,34.2
I'll Be Holding On,I'll Be Holding On,6,109,85,95.16666666666667
The Sign,The Sign,41,68,1,18.75609756097561
Love In The City,Love In The City,4,119,91,103.0
Sound Asleep,Sound Asleep,6,90,57,67.66666666666667
Temptations,Temptations,6,93,68,82.5
Dear Mama/Old School,Dear Mama/Old School,0,,,
Keep Ya Head Up,Keep Ya Head Up,20,83,12,31.05
I Think We're Alone Now,I Think We're Alone Now,54,112,1,41.22222222222222
Get Out Now,Get Out Now,7,81,48,59.285714285714285
Somebody Cares,Somebody Cares,8,118,53,82.375
Do Something To Me,Do Something To Me,12,115,38,73.41666666666667
Crystal Blue Persuasion,Crystal Blue Persuasion,15,89,2,19.0
Ball Of Fire,Ball Of Fire,8,82,19,38.0
She,She,17,132,23,72.3529411764706
Gotta Get Back To You,Gotta Get Back To You,8,79,45,53.625
Ball And Chain,Ball And Chain,0,,,
Church Street Soul Revival,Church Street Soul Revival,7,80,62,69.0
Adrienne,Adrienne,4,118,93,100.25
Draggin' The Line,Draggin' The Line,13,86,4,23.923076923076923
I'm Comin' Home,I'm Comin' Home,11,87,40,61.63636363636363
Nothing To Hide,Nothing To Hide,9,78,41,53.0
Cat's Eye In The Window,Cat's Eye In The Window,4,100,90,93.0
Celebration,Celebration,58,100,1,59.91379310344828
Let The Good Times In,Let The Good Times In,7,116,55,74.28571428571429
You've Still Got A Place In My Heart,You've Still Got A Place In My Heart,7,90,60,67.71428571428571
Got To Be Real,Got To Be Real,20,109,12,42.65
A Day In My Life,A Day In My Life,20,94,49,69.45
Goody Goody,Goody Goody,32,85,22,53.8125
Show Some Respect,Show Some Respect,10,91,37,53.5
One Of The Living,One Of The Living,18,92,15,49.22222222222222
The Kid Is Hot Tonite,The Kid Is Hot Tonite,3,101,81,94.33333333333333
Don't You Want Me,Don't You Want Me,52,100,1,33.34615384615385
Let's Think About Living,Let's Think About Living,16,115,7,43.4375
I'm So Lonesome I Could Cry,I'm So Lonesome I Could Cry,33,131,8,76.87878787878788
You Are The Woman,You Are The Woman,22,82,9,32.18181818181818
Paper Tiger,Paper Tiger,12,133,23,59.0
Two Of A Kind,Two Of A Kind,9,91,42,58.333333333333336
Telegram Sam,Telegram Sam,5,78,67,71.4
September,September,37,96,8,49.54054054054054
Disco Inferno,Disco Inferno,58,99,3,31.948275862068964
Knock On Wood/Light My Fire,Knock On Wood/Light My Fire,0,,,
Mercy,Mercy,131,127,5,48.717557251908396
I Take A Lot Of Pride In What I Am,I Take A Lot Of Pride In What I Am,4,88,75,81.75
Rock Me Amadeus,Rock Me Amadeus,17,88,1,26.529411764705884
Don't Change,Don't Change,5,107,80,91.8
I Wanna Be,I Wanna Be,8,99,68,85.875
Shapes Of Things,Shapes Of Things,12,130,11,38.833333333333336
I Don't Want To See You Again,I Don't Want To See You Again,9,84,16,37.666666666666664
I Go To Pieces,I Go To Pieces,17,104,9,47.588235294117645
You Got What It Takes,You Got What It Takes,38,94,7,38.078947368421055
I Want To,I Want To,17,114,23,62.76470588235294
Ride Your Pony,Ride Your Pony,13,135,28,69.53846153846153
Holy Cow,Holy Cow,10,134,23,56.3
Everything I Do Gonh Be Funky,Everything I Do Gonh Be Funky,0,,,
Money's Too Tight To Mention,Money's Too Tight To Mention,15,87,28,50.6
I'm On Fire,I'm On Fire,60,110,6,54.4
Like A Baby,Like A Baby,9,83,27,45.333333333333336
It's That Time Of The Year,It's That Time Of The Year,0,,,
I Struck It Rich,I Struck It Rich,4,124,98,106.0
Maybach Music 2,Maybach Music 2,1,92,92,92.0
Hip City - Pt. 2,Hip City - Pt. 2,0,,,
Child Of Our Times,Child Of Our Times,4,82,72,76.25
Cloudy Summer Afternoon,Cloudy Summer Afternoon,7,86,62,70.0
Wooden Heart,Wooden Heart,30,133,1,61.36666666666667
The Bridge Of Love,The Bridge Of Love,7,86,50,63.714285714285715
Together Forever,Together Forever,42,98,1,51.023809523809526
Bridget The Midget,Bridget The Midget,10,86,50,62.3
Long Live Love,Long Live Love,5,104,97,100.6
I'm Stone In Love With You,I'm Stone In Love With You,13,92,10,36.69230769230769
Owner Of A Lonely Heart,Owner Of A Lonely Heart,23,97,1,26.73913043478261
Jessie's Girl,Jessie's Girl,35,97,1,31.685714285714287
Nathan Jones,Nathan Jones,10,88,16,32.9
I Hate This Part,I Hate This Part,20,79,11,31.0
Stay Awhile,Stay Awhile,24,99,7,45.75
All I See Is You,All I See Is You,9,112,20,48.22222222222222
I'll Try Anything,I'll Try Anything,8,90,40,57.75
Give Me Time,Give Me Time,0,,,
What's It Gonna Be,What's It Gonna Be,16,121,8,68.1875
La La Land,La La Land,8,95,52,70.125
"Run, Run, Run","Run, Run, Run",0,,,
I'm Livin' In Shame,I'm Livin' In Shame,2,47,22,34.5
Stoned Love,Stoned Love,14,61,7,20.071428571428573
Everybody's Got The Right To Love,Everybody's Got The Right To Love,11,74,21,34.54545454545455
Bad Weather,Bad Weather,1,87,87,87.0
Funny Familiar Forgotten Feelings,Funny Familiar Forgotten Feelings,7,118,49,68.57142857142857
Sixteen Tons,Sixteen Tons,47,134,1,47.08510638297872
A Minute Of Your Time,A Minute Of Your Time,11,127,48,64.9090909090909
Special Occasion,Special Occasion,0,,,
I Am I Am,I Am I Am,9,85,56,72.77777777777777
Double Good Everything,Double Good Everything,3,99,91,95.0
Never Trust A Woman,Never Trust A Woman,4,122,90,100.75
Why I Sing The Blues,Why I Sing The Blues,12,114,61,83.08333333333333
Chains And Things,Chains And Things,3,118,98,110.33333333333333
Ghetto Woman,Ghetto Woman,5,79,68,73.4
